short_name,long_name,player_positions,overall,position,nationality
S. Lukić,Saša LukićСаша Лукић,"CDM, CM",78,LDM,Serbia
M. Kudus,Mohammed Kudus,"RW, LW, ST, RM",80,RW,Ghana
A. Stach,Anton Levi Stach,"CDM, CM, CB",79,LCM,Germany
A. Barák,Antonín Barák,"CM, CAM",75,SUB,Czechia
Tozé,António José Pinheiro de Carvalho,"CM, CAM",75,RCM,Portugal
M. Weiser,Mitchell-Elijah Weiser,"RB, RM",78,SUB,Germany
R. Orsolini,Riccardo Orsolini,"RM, RW",82,RM,Italy
D. Machado,Deiver Andrés Machado Mena,"LB, LM",76,LM,Colombia
L. Cook,Lewis John Cook,"CDM, RB, RM",79,SUB,England
N. Mazraoui,Noussair Mazraouiنصير مزراوي,"RB, CB, RM",80,RB,Morocco
T. Meunier,Thomas Andre A. Meunier,"RB, RM",76,RB,Belgium
P. Højbjerg,Pierre-Emile Kordt Højbjerg,"CDM, CM",82,LDM,Denmark
Unai López,Unai López Cabrera,"CM, CDM",76,LDM,Spain
Aitor Ruibal,Aitor Ruibal García,"RB, RM, ST, RW",77,SUB,Spain
Dani Ceballos,Daniel Ceballos Fernández,"CM, CDM",81,SUB,Spain
R. Reitz,Rocco Reitz,"CM, CDM",77,RDM,Germany
Wagner Laranjo,Wagner Mauro Laranjo Coelho,"CDM, CM",77,RDM,Brazil
O. Dorley,Murphy Oscar Dorley,"CDM, CM",78,LCM,Liberia
Welington Dano,Welington Kauê Dano Nascimento,"LB, LM, LW",81,LW,Brazil
H. Boudaoui,Hicham Boudaouiهشام بوداوي,"CM, CDM",77,RCM,Algeria
I. Maatsen,Ian Ethan Maatsen,"LB, LM",79,SUB,Netherlands
L. Camara,Lamine Camara,"CM, CDM",77,RCM,Senegal
A. Doucouré,Abdoulaye Doucouré,"CAM, CM",74,CAM,Mali
P. Berg,Patrick Berg,"CDM, CM",77,CDM,Norway
L. Sané,Leroy Aziz Sané,"RM, LM, RW",82,RM,Germany
Kévin Rodrigues,Kévin Manuel Rodrigues,"LB, LM",75,LB,Portugal
Y. Bissouma,Yves Bissouma,"CDM, CM",78,SUB,Mali
Marquinhos,Marcos Aoás Corrêa,CB,87,RCB,Brazil
João Mário,João Mário Naval da Costa Eduardo,"LM, RM, CM, LW",78,RES,Portugal
K. Mainoo,Kobbie Mainoo,"CM, CDM",77,SUB,England
Á. Di María,Ángel Fabián Di María Hernández,"RW, RM",82,RM,Argentina
Nico González,Nicolás González Iglesias,"CDM, CM",79,SUB,Spain
J. Hofmann,Jonas Hofmann,"CAM, ST, CM",78,SUB,Germany
S. Dest,Sergiño Gianni Dest,"RB, LB, RM",79,RB,United States
Dani Olmo,Daniel Olmo Carvajal,"CAM, CM, ST",85,SUB,Spain
Gavi,Pablo Martín Páez Gavira,"CM, CAM",83,SUB,Spain
Lee Kang In,Kang-in Lee이강인,"RW, CM, RM",79,SUB,Korea Republic
N. Raskin,Nicolas Thierry Raskin,"CDM, CM",77,SUB,Belgium
F. Honorat,Franck Honorat,"RM, RW, RB",80,RM,France
B. André,Benjamin André,"CDM, CM",80,RDM,France
J. Ramsey,Jacob Matthew Ramsey,"LM, LW",78,SUB,England
Gabriel Martinelli,Gabriel Teodoro Martinelli Silva,"LW, LM",81,SUB,Brazil
R. Aït-Nouri,Rayan Aït Nouriريان آيت نوري,"LB, LM",81,LB,Algeria
X. Schlager,Xaver Schlager,"CDM, CM",80,CDM,Austria
João Félix,João Félix Sequeira,"CAM, LW, LM, ST",79,CAM,Portugal
Wesley,Wesley Vinícius França Lima,"RB, RM",77,RM,Brazil
J. Rothwell,Joseph Matthew Rothwell,"CDM, CM",74,SUB,England
D. Klaassen,Davy Klaassen,"CM, CDM",77,RCM,Netherlands
Z. Youssouf,Zaydou Youssouf,"CDM, CM, CB",77,RDM,Comoros
Pablo Barrios,Pablo Barrios Rivas,"CM, CDM",82,LCM,Spain
G. Til,Guus Berend Til,"CAM, CM",77,SUB,Netherlands
R. Faivre,Romain Faivre,"RM, RW",76,SUB,France
Javi Galán,Javier Galán Gil,"LB, LM",80,SUB,Spain
H. Vanaken,Hans Vanaken,"CAM, CM",80,LCM,Belgium
T. Savanier,Téji Tedy Savanier,"CAM, CM",75,CAM,France
P. Estupiñán,Pervis Josué Estupiñán Tenorio,"LB, LM",79,LM,Ecuador
L. Spinazzola,Leonardo Spinazzola,"LB, LM",78,LB,Italy
Javi Guerra,Javier Guerra Moreno,"CM, CDM",77,RDM,Spain
Antony,Antony Matheus dos Santos,"RW, RM",81,RM,Brazil
Zubeldia,Igor Zubeldía Elorza,CB,78,RCB,Spain
Éder Aldralho,Éder Marvin Aldralho Castro,"RM, CAM, RW",72,CAM,Brazil
M. Darmian,Matteo Darmian,"RB, CB, RM",81,SUB,Italy
Rosival Dourado,Rosival Jailson Dourado Santos,"CDM, CM, CAM",81,CDM,Brazil
O. Ntcham,Jules Olivier Ntcham,"CDM, CM, CAM",73,LDM,Cameroon
N. Vlašić,Nikola Vlašić,"CAM, LW, RW, CM",79,LW,Croatia
Q. Laçi,Qazim LaçiΚαζίμ Λάτσι,"CM, CAM, CDM",74,CAM,Albania
M. Lewis-Skelly,Myles Anthony Lewis-Skelly,"LB, CM",78,SUB,England
S. Fofana,Seko Mohamed Fofana,"CM, CDM, CAM",77,LCM,Côte d'Ivoire
J. Ward-Prowse,James Michael Edward Ward-Prowse,"CM, CDM, CAM, CB",77,LCM,England
É. Banega,Éver Maximiliano David Banega,"CM, CDM, CAM",77,LCM,Argentina
F. Bustos,Fabricio Tomás Bustos Sein,"RB, RM",76,SUB,Argentina
H. Morita,Hidemasa Morita守田 英正,"CM, CDM",79,LDM,Japan
Gustavo Sá,Gustavo Filipe Alves de Freitas Azevedo e Sá,"CAM, CM",74,CAM,Portugal
A. Varela,Alan Gonzalo Varela,"CDM, CM",79,CDM,Argentina
R. Freuler,Remo Marco Freuler,"CDM, CM",81,RDM,Switzerland
K. Mitoma,Kaoru Mitoma三笘 薫,"LM, LW",82,LM,Japan
S. Zuber,Steven Zuber,"ST, CAM, LM",74,ST,Switzerland
T. Vilhena,Tonny Emílio Trindade de Vilhena,"CM, CDM, CAM",72,RES,Netherlands
M. Depay,Memphis Depay,"ST, LW, CAM",81,,Netherlands
Iago Aspas,Iago Aspas Juncal,"RW, ST, RM",83,RW,Spain
O. Aina,Temitayo Olufisayo Olaoluwa Aina,"RB, LB, RM",80,RB,Nigeria
M. Wanitzek,Marvin Wanitzek,"CM, LM, CAM",76,LCM,Germany
L. Blas,Ludovic Blas,"RM, RW, CAM",77,SUB,France
R. Mahrez,Riyad Mahrezرياض محرز,"RM, RW",84,RM,Algeria
Iñigo Martínez,Íñigo Martínez Berridi,CB,85,LCB,Spain
M. Camara,Mahdi Camara,"CM, CAM",78,SUB,France
J. Brandt,Julian Brandt,"CAM, CM",83,RAM,Germany
A. Kramarić,Andrej Kramarić,"CAM, CM",81,RAM,Croatia
J. Koundé,Jules Olivier Koundé,"RB, CB, RM",87,RB,France
C. Roldan,Cristian Roldán,"CDM, RM, CM, RW",74,RCM,United States
S. Steijn,Sem Steijn,"CAM, CM",78,CAM,Netherlands
Y. Musah,Yunus Dimoara Musah,"CM, CDM, RM, CAM",74,SUB,United States
P. Lees-Melou,Pierre Lees-Melou,"CDM, CM",78,CDM,France
A. Král,Alex Král,"CM, CAM",74,SUB,Czechia
M. Rashica,Milot Rashica,"RM, LM, RW",76,LM,Kosovo
N. Bentaleb,Nabil Bentalebنبيل بن طالب,"CDM, CM",77,SUB,Algeria
N. Molina,Nahuel Molina Lucero,"RB, RM",79,SUB,Argentina
A. Thomasson,Adrien Thomasson,"CM, CAM",77,LCM,France
A. Iwobi,Alexander Chuka Iwobi,"LM, RM, LW",80,LM,Nigeria
F. Bernardeschi,Federico Bernardeschi,"RM, ST, RW",77,RES,Italy
M. Cornet,Gnaly Maxwel Cornet,"LM, ST, LW",74,RES,Côte d'Ivoire
D. Berardi,Domenico Berardi,"RW, RM",82,RW,Italy
Richarlison,Richarlison de Andrade,"ST, LW, LM",78,SUB,Brazil
Portu,Cristian Portugués Manzanera,"RM, LM, RW",76,SUB,Spain
D. Kamada,Daichi Kamada鎌田 大地,"CM, CAM",77,SUB,Japan
O. Yokuşlu,Okay Yokuşlu,"CDM, CM, CB",76,LDM,Türkiye
L. Shaw,Luke Paul Hoare Shaw,"CB, LB, LM",79,LCB,England
M. Braida,Malcom Nahuel Braida,"LM, LB",76,SUB,Argentina
Renato Veiga,Renato de Palma Veiga,"CB, CDM",76,LCB,Portugal
Nico Williams,Nicholas Williams Arthuer,"LM, RM, LW",86,LM,Spain
P. Bucha,Pavel Bucha,"CM, CDM, CAM",75,RCM,Czechia
H. Larsson,Hugo Emanuel Larsson,"CM, CDM",78,RDM,Sweden
S. Schrijvers,Siebe Schrijvers,"CM, CAM, CDM",74,LDM,Belgium
Guilherme Sityá,Guilherme Haubert Sityá,"LB, LM",76,LB,Brazil
J. Grealish,Jack Peter Grealish,"LW, LM",80,LM,England
Vini Jr.,Vinicius José Paixão de Oliveira Junior,"LW, ST, LM",89,LM,Brazil
G. Kochorashvili,Giorgi Kochorashviliგიორგი ქოჩორაშვილი,"CM, CDM, LM, CAM",74,SUB,Georgia
Cucho,Juan Camilo Hernández Suárez,"ST, CAM",78,ST,Colombia
A. Rațiu,Andrei Florin Rațiu,"RB, RM",79,RB,Romania
M. Mount,Mason Tony Mount,"CAM, CM, RW",77,SUB,England
R. Calafiori,Riccardo Calafiori,"LB, CB",78,LB,Italy
K. Havertz,Kai Lukas Havertz,"ST, CM, CAM",82,SUB,Germany
R. Marin,Răzvan Gabriel Marin,"CM, CDM",74,SUB,Romania
Adrián Bernabé,Adrián Bernabé García,"CDM, CM",74,RCM,Spain
J. Bellegarde,Jean-Ricner Bellegarde,"CAM, CM",75,SUB,Haiti
S. Driussi,Sebastián Driussi,"ST, CAM, CM",77,RES,Argentina
A. Marušić,Adam MarušićАдам Марушић,"RB, LB, RM",78,RB,Montenegro
A. Castro,Alexis Castro,"LM, CM, LW",73,SUB,Argentina
V. Rongier,Valentin Rongier,"CDM, CM",79,RCM,France
H. Aouar,Houssem Aouarحسام عوار,"CAM, CM",77,CAM,Algeria
V. Lazaro,Valentino Lando Lazaro,"RM, LM, LB, RB",76,RB,Austria
Casemiro,Carlos Henrique Casimiro,"CDM, CM",80,RCM,Brazil
M. Wieffer,Mats Wieffer,"CDM, CM",78,SUB,Netherlands
Jauregizar,Mikel Jauregizar Alboniga,"CM, CDM",78,LDM,Spain
A. Stiller,Angelo Stiller,"CDM, CM",83,LDM,Germany
A. Browne,Alan James Browne,"CM, CAM",72,SUB,Republic of Ireland
Lee Dong Kyeong,Dong-gyeong Lee이동경,"CAM, ST, CM",75,RS,Korea Republic
B. Ndiaye,Papa Alioune N'Diaye,"CDM, CM",74,CDM,Senegal
R. Kristensen,Rasmus Nissen Kristensen,"RB, RM, CB",79,RB,Denmark
D. Ndoye,Dan Assane Ndoye,"LM, RM, LW",79,RM,Switzerland
Pedraza,Alfonso Pedraza Sag,"LB, LM",75,SUB,Spain
A. Robinson,Antonee Robinson,"LB, LM",82,LB,United States
T. Müller,Thomas Müller,"CAM, ST, RM",80,CAM,Germany
L. Krejčí,Ladislav Krejčí,"CB, CDM",78,SUB,Czechia
S. Serdar,Suat Serdar,"CM, CDM",76,LCM,Germany
M. Reus,Marco Reus,"CAM, ST, CM",79,CAM,Germany
R. Carrera,Ramiro Ángel Carrera,"CM, LM, RM, LW",74,LM,Argentina
A. Živković,Andrija ŽivkovićАндрија Живковић,"RM, RW, LW",78,RM,Serbia
B. Henrichs,Benjamin Henrichs,"RB, RM, LB",80,RES,Germany
A. Masuaku,Fuka-Arthur Masuaku Kawela,"LB, LM",75,SUB,Congo DR
Paulo Bernardo,Paulo Guilherme Gonçalves Bernardo,CM,73,SUB,Portugal
M. Livaja,Marko Livaja,"ST, CAM",79,ST,Croatia
R. Pereyra,Roberto Maximiliano Pereyra,"CM, CAM",76,LCM,Argentina
Trincão,Francisco António Machado Mota de Castro Trincão,"CAM, RM, RW, ST",82,CAM,Portugal
Hannibal,Hannibal Mejbriحنبعل المجبري,"CM, CAM",74,CAM,Tunisia
E. Löwen,Eduard Löwen,"CM, CDM, CAM, CB",74,SUB,Germany
Diego Rico,Diego Rico Salguero,"LB, LM",77,LB,Spain
R. Bazoer,Riechedly Guillermo Bazoer,"CB, CDM",74,RCB,Netherlands
A. Haidara,Amadou Haïdara,"CM, CDM",77,SUB,Mali
Daniel Bragança,Daniel Santos Bragança,"CM, CDM, CAM",78,RES,Portugal
J. Mojica,Johan Andrés Mojica Palacio,"LB, LM",78,LB,Colombia
A. Zorgane,Adem Zorganeآدم زورجان,"CDM, CM",78,RCM,Algeria
J. Rudoni,Jack Edward Rudoni,"CAM, CM",74,CAM,England
M. Caqueret,Maxence Caqueret,"CM, CDM",77,SUB,France
M. Ozdoev,Magomed OzdoevОздоев Магомед Мустафаевич,"CM, CDM",74,SUB,Russia
M. Wolf,Marius Wolf,"RB, RM",75,RM,Germany
M. Moreno,Damián Marcelino Moreno,"CAM, LM, ST, CM",78,CAM,Argentina
N. Fagioli,Nicolò Fagioli,"CM, CDM, CB",77,LCM,Italy
C. Goodwin,Craig Alexander Goodwin,"LM, RM, LW",73,RM,Australia
Lee Jae Sung,Jae-sung Lee이재성 李在成,"CAM, CM",77,LAM,Korea Republic
N. Lang,Noa Noëll Lang,"LW, LM",80,SUB,Netherlands
P. Gueye,Pape Alassane Gueye,"CM, CDM",78,SUB,Senegal
J. Moder,Jakub Piotr Moder,"CM, CAM, CDM",75,SUB,Poland
O. Duda,Ondrej Duda,"CM, CDM",75,RDM,Slovakia
A. Tanaka,Ao Tanaka田中 碧,"CDM, CM",76,RCM,Japan
Gabriel Jesus,Gabriel Fernando de Jesus,"ST, CAM",80,RES,Brazil
Guruzeta,Gorka Guruzeta Rodríguez,ST,79,ST,Spain
J. Willock,Joseph George Willock,"CM, CAM",76,SUB,England
A. Pavlović,Aleksandar Pavlović,"CDM, CM",79,SUB,Germany
B. Romero,Braian Ezequiel Romero,ST,74,ST,Argentina
João Gomes,João Victor Gomes da Silva,"CDM, CM",78,LCM,Brazil
I. Saibari,Ismael Saibari Ben El Basraإسماعيل صيباري,"CAM, CM",79,RCM,Morocco
M. Wittek,Maximilian Wittek,"LB, LM, LW",73,LB,Germany
A. Maitland-Niles,Ainsley Cory Maitland-Niles,"RB, RM, RW",77,RB,England
N. Domínguez,Nicolás Martín Domínguez,"CDM, CM",79,RES,Argentina
Emerson,Emerson Palmieri dos Santos,"LB, LM",77,SUB,Italy
K. Fortounis,Konstantinos FortounisΚωνσταντίνος Φορτούνης,"CAM, ST, RW, CM",80,RS,Greece
Costinha,João Pedro Loureiro da Costa,"RB, RM",75,SUB,Portugal
N. Moro,Nikola Moro,"CDM, CM",75,LDM,Croatia
André Horta,André Filipe Luz Horta,"CM, CAM",75,SUB,Portugal
M. Vecino,Matías Vecino Falero,"CM, CDM",77,SUB,Uruguay
J. Bellingham,Jobe Samuel Patrick Bellingham,"CM, CDM, CAM",74,LCM,England
T. Almada,Thiago Ezequiel Almada,"CAM, CM",79,SUB,Argentina
M. Ryneš,Matěj Ryneš,"LM, LB, LW",73,LM,Czechia
V. Castellanos,Valentín Mariano José Castellanos Giménez,ST,80,ST,Argentina
D. Bouanga,Denis Athanase Bouanga,"LW, ST, LM",79,LW,Gabon
Edu Expósito,Eduardo Expósito Jaén,"CAM, CM, CDM",75,RDM,Spain
Clinton Mata,Clinton Mukoni Mata Pedro Lourenço,"CB, RB",77,RCB,Angola
G. Kondogbia,Geoffrey Edwin Kondogbia,"CB, CDM, CM",78,SUB,Central African Republic
Ferran Torres,Ferran Torres García,"LW, RW, ST, LM",83,SUB,Spain
D. Köhn,Derrick Arthur Köhn,"LB, LM",75,SUB,Germany
C. Højer,Casper Michael Højer Nielsen,"LB, CB, LM",73,LB,Denmark
N. Seiwald,Nicolas Seiwald,"CDM, CM, CB",77,RCM,Austria
Dodô,Domilson Cordeiro dos Santos,"RB, RM",78,RM,Brazil
A. Pléa,Alassane Alexandre Pléa,"ST, CAM, LW",78,RES,France
G. Martirena,Gastón Nicolás Martirena Torres,"RB, RM",75,RM,Uruguay
Chimy Ávila,Luis Ezequiel Ávila,"RM, ST, RW",74,RES,Argentina
K. Zenón,Kevin Andrés Zenón,"LM, CM, LW",75,LM,Argentina
Palhinha,João Maria Lobo Alves Palhinha Gonçalves,"CDM, CM",83,CDM,Portugal
F. Chiesa,Federico Chiesa,"RM, LM, ST, RW",81,SUB,Italy
K. Tsimikas,Konstantinos TsimikasΚωνσταντίνος Τσιμίκας,"LB, LM",77,RES,Greece
X. Shaqiri,Xherdan Shaqiri,"CAM, RW, CM",78,CAM,Switzerland
Jorge Andrão,Everton Jorge Andrade Zanon,"CDM, CM",79,RDM,Brazil
A. Johnston,Alistair William Johnston,"RB, RM",78,RES,Canada
J. Lingard,Jesse Ellis Lingard,"CAM, ST, CM",74,CAM,England
K. Lewis-Potter,Keane William Lewis-Potter,"LB, LM",76,LB,England
E. Višća,Edin Višća,"RM, LM, RW",78,RM,Bosnia and Herzegovina
Stephen Eustáquio,Stephen Antunes Eustáquio,"CDM, CM, CB",77,SUB,Canada
D. de Wit,Dani de Wit,"CAM, CM",72,CAM,Netherlands
A. Gouiri,Amine Ferid Gouiri,"ST, CAM",79,ST,Algeria
E. Valeri,Emanuele Valeri,"LB, LM",75,LM,Italy
C. Uche,Christantus Ugonna Uche Uche,"ST, CAM, CM",76,SUB,Nigeria
S. Bergwijn,Steven Charles Bergwijn,"LM, LW",80,LM,Netherlands
V. Verre,Valerio Verre,"CM, CAM",73,RES,Italy
A. Diouf,Andy Alune Diouf,"CM, CDM, CAM",75,RES,France
S. Gnabry,Serge David Gnabry,"LM, RM, ST, CAM",82,CAM,Germany
Elias Fontoira,Elias Thiago Fontoira Marques,"CDM, CM",74,LCM,Brazil
S. Schwab,Stefan Schwab,"CM, CDM",73,RCM,Austria
Rubén Alcaraz,Rubén Alcaraz Jiménez,"CM, CDM",71,SUB,Spain
S. Arzamendia,Santiago Arzamendia Duarte,"LB, LM",73,LB,Paraguay
R. Lukaku,Romelu Menama Lukaku Bolingoli,ST,84,RES,Belgium
J. Ryerson,Julian Ryerson,"RB, LB, RM",79,SUB,Norway
Rafael Leão,Rafael Alexandre da Conceição Leão,"LW, LM",84,SUB,Portugal
N. Dorsch,Niklas Bernd Dorsch,"CDM, CM, CB",74,LDM,Germany
A. Young,Ashley Simon Young,"RB, LB, RM",73,SUB,England
Guilherme,Guilherme dos Santos Torres,"CDM, CM",77,,Qatar
M. Cash,Matthew Stuart Cash,"RB, RM",79,RB,Poland
B. Chilwell,Benjamin James Chilwell,"LB, LM",77,LM,England
Rodrygo,Rodrygo Silva de Goes,"RW, ST, RM",85,SUB,Brazil
Vanderson,Vanderson de Oliveira Campos,RB,77,RB,Brazil
A. Christiansen,Anders Bleg Christiansen,"CAM, CM",72,SUB,Denmark
A. Prass,Alexander Prass,"LB, LM, CM, LW",74,SUB,Austria
K. Tierney,Kieran Tierney,"LB, LM",77,LB,Scotland
Francisco Moura,Francisco Sampaio de Moura,"LB, LM",78,LB,Portugal
Q. Merlin,Quentin Merlin,"LB, LM",76,LB,France
D. Blind,Daley Blind,"CB, LB",77,LCB,Netherlands
L. McCowan,Luke McCowan,"CM, CAM",73,SUB,Scotland
M. Rits,Mats Rits,"CM, CDM",72,SUB,Belgium
A. Koita,Aboubakary Yeli Koita,"LM, LW, RM",75,SUB,Mauritania
J. Veerman,Joey Veerman,"CM, CDM, CAM",79,LCM,Netherlands
A. Lookman,Ademola Olajade Alade Aylola Lookman,"ST, CAM",84,RES,Nigeria
Éder Militão,Éder Gabriel Militão,CB,84,RCB,Brazil
F. Fabra,Frank Yusty Fabra Palacios,"LB, LM",73,SUB,Colombia
Kaku,Alejandro Sebastián Romero Gamarra,"CAM, RM, CM",79,CAM,Paraguay
M. Pereira Lage,Mathias Pereira Lage,"LW, LM, ST",75,LS,Portugal
F. Ranocchia,Filippo Ranocchia,"CM, CDM, CAM",72,LCM,Italy
Sergi Roberto,Sergio Roberto Carnicer,"CDM, CM",77,SUB,Spain
A. Rüdiger,Antonio Rüdiger,CB,86,SUB,Germany
D. van de Beek,Donny van de Beek,"CAM, CM",76,SUB,Netherlands
R. Baba,Abdul Rahman Baba,"LB, LM",76,LB,Ghana
G. Simeone,Giuliano Simeone Baldini,"RM, ST, LM, RW",81,RM,Argentina
P. Ševčík,Petr Ševčík,"CM, CDM",74,RES,Czechia
J. Svensson,Jonas Svensson,RB,75,RB,Norway
S. Ricci,Samuele Ricci,"CDM, CM",78,SUB,Italy
D. McNeil,Dwight James Matthew McNeil,"LM, CAM, RM, LW",78,SUB,England
H. Traoré,Hamari Traoré,"RB, RM",79,RB,Mali
Iván Martín,Iván Martín Núñez,"CM, CDM, CAM",77,RCM,Spain
I. Fernández,Ignacio Martín Fernández,"CM, CAM, RM",75,RCM,Argentina
Z. Nagy,Zsolt Nagy,"LM, LB, LW",73,,Hungary
M. Luna Diale,Mauro Luna Diale,"CM, ST",72,RES,Argentina
M. Pessina,Matteo Pessina,"CM, CAM, CDM",76,LCM,Italy
L. Bergvall,Lucas Erik Holger Bergvall,"CM, CDM, CAM",77,LCM,Sweden
K. Lala,Kenny Lala,"RB, RM",76,RB,France
Puado,Javier Puado Díaz,"ST, LM, CAM",78,LM,Spain
M. Zaracho,Federico Matías Javier Zaracho,"CM, CAM, RM",75,RAM,Argentina
G. Brugman,Gastón Brugman Duarte,"CM, CDM",73,RCM,Uruguay
H. Hajradinović,Haris HajradinovićХарис Хајрадиновиќ,"CM, CAM",76,RCM,Bosnia and Herzegovina
R. Delgado,Rafael Marcelo Delgado,"LB, CB",71,LCB,Argentina
Medrán,Álvaro Medrán Just,"CM, CDM, CAM",77,CAM,Spain
H. Ziyech,Hakim Ziyechحكيم زياش,"RM, CAM, RW",78,,Morocco
A. Bastoni,Alessandro Bastoni,CB,87,LCB,Italy
P. van Aanholt,Patrick John Miguel van Aanholt,LB,72,LB,Netherlands
W. Singo,Wilfried Stephane Singo,"CB, RB",80,SUB,Côte d'Ivoire
M. Muheim,Miro Max Maria Muheim,"LB, CB, LM",75,LB,Switzerland
E. Diouf,El Hadji Malick Diouf,"LB, LM",75,LB,Senegal
H. Nicolussi Caviglia,Hans Nicolussi Caviglia,"CDM, CM",75,RES,Italy
E. Salvio,Eduardo Antonio Salvio,"RM, LM, RW",76,RM,Argentina
H. Vetlesen,Hugo Vegard Vetlesen,"CDM, RW, RM",71,RW,Norway
J. Irvine,Jackson Alexander Irvine,"CM, CDM",75,SUB,Australia
M. Baturina,Martin Baturina,"CAM, CM",78,SUB,Croatia
Diogo Gonçalves,Diogo António Cupido Gonçalves,"LM, CM, CAM, LW",74,LM,Portugal
W. Ndidi,Onyinye Wilfred Ndidi,"CDM, CM, CAM",76,RDM,Nigeria
R. Alvarado,Roberto Carlos Alvarado Hernández,"RM, LM, RW",78,,Mexico
N. Zaniolo,Nicolò Zaniolo,"RM, RW, ST",76,RES,Italy
C. Nørgaard,Christian Thers Nørgaard,"CDM, CM",80,SUB,Denmark
Miguel Crespo,Miguel Crespo da Silva,"CM, CDM",73,SUB,Portugal
A. Lacazette,Alexandre Lacazette,ST,79,ST,France
M. Vrousai,Marios VrousaiΜάριος Βρουσάι,"RB, RM",72,RM,Greece
V. Grifo,Vincenzo Grifo,"LM, CAM, LW",80,LM,Italy
Morales,José Luis Morales Nogales,"ST, LM, LW",74,SUB,Spain
R. Mandragora,Rolando Mandragora,"CM, CDM",77,RCM,Italy
A. Wharton,Adam James Wharton,"CDM, CM",79,RCM,England
Fran Beltrán,Francisco José Beltrán Peinado,"CM, CDM",78,SUB,Spain
R. Ortiz,Richard Ortiz Bustos,"CDM, CB, CM",70,CDM,Paraguay
A. Sánchez,Alexis Alejandro Sánchez Sánchez,"ST, CAM",76,SUB,Chile
I. Ilić,Ivan IlićИван Илић,"CM, CDM, CAM",76,LCM,Serbia
L. Openda,Ikoma Loïs Openda,ST,83,SUB,Belgium
E. Bardhi,Enis BardhiЕнис Барди,"CAM, CM, LM",74,LM,North Macedonia
M. Salas,Maximiliano Nahuel Salas,"ST, LW, RW, CAM",76,ST,Argentina
Caio Henrique,Caio Henrique Oliveira Silva,"LB, LM",77,LB,Brazil
N. Capaldo,Nicolás Capaldo Taboas,"CM, CDM, RB",73,RCM,Argentina
M. Greenwood,Mason Will John Greenwood,"RM, CAM, RW",82,RM,England
F. Parisi,Fabiano Parisi,"LB, RB, LM",75,SUB,Italy
F. Thauvin,Florian Tristan Mariano Thauvin,"ST, RW, CAM",76,RW,France
C. Tzolis,Christos TzolisΧρήστος Τζόλης,"LM, LW",80,LW,Greece
S. Montiel,Santiago Gabriel Montiel,"LM, RW, RM, LW",75,RM,Argentina
C. Günter,Christian Günter,"LB, LM",77,LB,Germany
V. Brazhko,Volodymyr BrazhkoБражко Володимир Володимирович,"CDM, CM, CB",75,SUB,Ukraine
K. Adeyemi,Karim-David Adeyemi,"RM, LW, CAM, RW",81,LAM,Germany
A. Saelemaekers,Alexis Jesse Saelemaekers,"RM, LM, RW",79,RM,Belgium
T. Delaney,Thomas Joseph Delaney,CDM,75,LDM,Denmark
L. Dendoncker,Leander Dendoncker,"CM, CDM, CB",75,RDM,Belgium
M. Lopez,Maxime Baila Lopez,"CM, CDM",76,RCM,France
T. Adams,Tyler Shaan Adams,"CDM, CM",79,LDM,United States
L. Castro,Lucas Nahuel Castro,"CAM, CM",72,RES,Argentina
F. Chaïbi,Farès Chaïbiفارس شايبي,"CAM, LW, CDM, CM",74,LDM,Algeria
Emilio Piodão,Emilio Alex Piodão Esser,"CDM, CM",75,RDM,Brazil
İ. Yüksek,İsmail Yüksek,"CDM, CM",77,SUB,Türkiye
T. Cognat,Timothé Cognat,"CM, CDM, CAM",75,RDM,France
L. Morgan,Lewis Morgan,"ST, LM, CAM",73,LAM,Scotland
N. Aké,Nathan Benjamin Aké,"CB, LB, LM",83,SUB,Netherlands
M. Lazzari,Manuel Lazzari,"RB, RM",78,SUB,Italy
M. Diomande,Mohamed Baba Diomandé,"CDM, CM",74,LDM,Côte d'Ivoire
Alberto Moreno,Alberto Moreno Pérez,LB,75,SUB,Spain
Enzo Chissano,Enzo Leandro Chissano Baia,"LB, RB, CB, LM",77,LB,Brazil
Geny Catamo,Geny Cipriano Catamo,"RM, LM, CAM, RW",78,RM,Mozambique
D. Svensson,Daniel Svensson,"LB, CM, LM",77,LM,Sweden
S. Sohm,Simon Solomon Junior Sohm,"CM, CDM, CAM",74,SUB,Switzerland
K. Ayhan,Kaan Ayhan,"RB, CB, CDM",76,SUB,Türkiye
L. Zelarayán,Lucas Manuel Zelarayán,"CAM, ST, LM",79,RS,Armenia
D. Wass,Daniel Wass,"CM, CDM",71,RCM,Denmark
M. Jensen,Mathias Jensen,"CM, CDM",77,SUB,Denmark
Manu Morlanes,Manuel Morlanes Ariño,"CM, CDM",77,CDM,Spain
Beñat Prados,Beñat Prados Díaz,"CDM, CM, CB",78,RES,Spain
A. Tameze,Adrien Tamèze Aoutsa,"CDM, CM, CB",74,SUB,France
C. Vanhoutte,Charles Vanhoutte,"CDM, CM",77,LCM,Belgium
Nailton Suzuki,Nailton Suzuki Ito,"CAM, ST, CM",81,ST,Brazil
Q. Hartman,Quilindschy Hartman,"LB, LM",77,LB,Netherlands
Isi,Isaac Palazón Camacho,"CAM, RM, ST, CM",81,RM,Spain
Dani Rodríguez,Daniel José Rodríguez Vázquez,"CAM, LM, RM, CM",76,SUB,Spain
